blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,contract,leveraged_apr,leveraged_apr_multiplier
ETH,IMX/ETH,Uniswap,IMX,88091.0,0.0079,58553.0,0.008,0xa00d47b4b304792eb07b09233467b690db847c91,-19.71%,(5x)
ETH,IMX/ETH,Uniswap,ETH,202894.0,0.0788,125845.0,0.1265,0xa00d47b4b304792eb07b09233467b690db847c91,-19.71%,(5x)
ETH,USDC/USDT,Uniswap,USDC,210173.0,0.0021,54035.0,0.0033,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-207.44%,(20x)
ETH,USDC/USDT,Uniswap,USDT,68369.0,0.12689999999999999,46724.0,0.2384,0x3041cbd36888becc7bbcbc0045e3b1f144466f5f,-207.44%,(20x)
ETH,USDC/ETH,Uniswap,USDC,64787.0,0.0583,35853.0,0.1319,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,10.88%,(5x)
ETH,USDC/ETH,Uniswap,ETH,59792.0,0.0022,27846.0,0.0058,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,10.88%,(5x)
ETH,WBTC/ETH,Uniswap,WBTC,27894.0,0.005600000000000001,20877.0,0.009399999999999999,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,18.16%,(10x)
ETH,WBTC/ETH,Uniswap,ETH,53165.0,0.0019,22980.0,0.0054,0xbb2b8038a1640196fbe3e38816f3e67cba72d940,18.16%,(10x)
ETH,DPI/ETH,Uniswap,DPI,23019.0,0.006,18142.0,0.0085,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,18.61%,(10x)
ETH,DPI/ETH,Uniswap,ETH,144073.0,0.0006,29916.0,0.0025,0x4d5ef58aac27d99935e5b6b4a6778ff292059991,18.61%,(10x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH2x-FLI,15720.0,0.0375,11115.0,0.0667,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-15.40%,(5x)
ETH,ETH2x-FLI/ETH,Uniswap,ETH,59799.0,0.0724,21303.0,0.1059,0xf91c12dae1313d0be5d7a27aa559b1171cc1eac5,-15.40%,(5x)
ETH,LINK/ETH,Uniswap,LINK,2753.0,0.0014000000000000002,0.07,0.005,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,26.34%,(5x)
ETH,LINK/ETH,Uniswap,ETH,72321.0,0.0002,8441.0,0.002,0xa2107fa5b38d9bbd2c461d6edf11b11a50f6b974,26.34%,(5x)
ETH,DAI/ETH,Uniswap,DAI,9958.0,0.001,3214.0,0.004,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,30.38%,(5x)
ETH,DAI/ETH,Uniswap,ETH,80772.0,0.0,1673.0,0.0003,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,30.38%,(5x)
ETH,UNI/ETH,Uniswap,UNI,3368.0,0.0008,964.68,0.0036,0xd3d2e2692501a5c9ca623199d38826e513033a17,10.60%,(5x)
ETH,UNI/ETH,Uniswap,ETH,20665.0,0.0013,3167.0,0.010700000000000001,0xd3d2e2692501a5c9ca623199d38826e513033a17,10.60%,(5x)
ETH,YFI/ETH,Uniswap,YFI,10174.0,0.0003,908.45,0.0025,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,51.90%,(5x)
ETH,YFI/ETH,Uniswap,ETH,6714.0,0.0484,1705.0,0.0722,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,51.90%,(5x)
ETH,COMP/ETH,Uniswap,COMP,565.58,0.04,566.45,0.05,0xcffdded873554f362ac02f8fb1f02e5ada10516f,2.91%,(5x)
ETH,COMP/ETH,Uniswap,ETH,30596.0,0.0,1220.0,0.0006,0xcffdded873554f362ac02f8fb1f02e5ada10516f,2.91%,(5x)
ETH,ETH/USDT,Uniswap,ETH,1695.0,0.0137,795.85,0.0368,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,20.22%,(5x)
ETH,ETH/USDT,Uniswap,USDT,11541.0,0.0054,1257.0,0.06280000000000001,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,20.22%,(5x)
ETH,AAVE/ETH,Uniswap,AAVE,344.71,0.04,344.99,0.05,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,30.67%,(5x)
ETH,AAVE/ETH,Uniswap,ETH,85954.0,0.0,674.35,0.0001,0xdfc14d2af169b0d36c4eff567ada9b2e0cae044f,30.67%,(5x)
ETH,ETH/CRV,Uniswap,ETH,2844.0,0.0,21.68,0.0001,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,136.98%,(5x)
ETH,ETH/CRV,Uniswap,CRV,4474.0,0.0004,77.77,0.0027,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,136.98%,(5x)
ETH,MATIC/ETH,Uniswap,MATIC,7711.0,0.0,42.44,0.0001,0x819f3450da6f110ba6ea52195b3beafa246062de,19.12%,(5x)
ETH,MATIC/ETH,Uniswap,ETH,33918.0,0.0,17.41,0.0,0x819f3450da6f110ba6ea52195b3beafa246062de,19.12%,(5x)
ETH,CEL/ETH,Uniswap,CEL,3411.0,0.0006,0.7,0.0034000000000000002,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,37.20%,(5x)
ETH,CEL/ETH,Uniswap,ETH,4109.0,0.06509999999999999,2.38,0.0815,0xa5e79baee540f000ef6f23d067cd3ac22c7d9fe6,37.20%,(5x)
ETH,SNX/ETH,Uniswap,SNX,1323.0,0.0,0.81,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,37.75%,(5x)
ETH,SNX/ETH,Uniswap,ETH,40.79,0.0,1.73,0.0001,0x43ae24960e5534731fc831386c07755a2dc33d47,37.75%,(5x)
